destination,district,avg_sentiment,sentiment_std,min_sentiment,max_sentiment,review_count,avg_positive_words,total_positive_words,avg_negative_words,total_negative_words,avg_review_length,review_length_std,avg_word_count,avg_exclamation,avg_question,avg_caps_ratio,sentiment_consistency,sentiment_ratio,num_accommodations,total_rooms,avg_rooms_per_hotel,rooms_std,avg_accommodation_grade,grade_std,accommodation_diversity,total_places,avg_place_grade,place_grade_std,places_restaurants,places_spa_and_wellness_centers,places_spice_gardens,places_tourist_shops,places_travel_agents,places_water_sports_centers,airbnb_avg_rating,airbnb_total_listings,airbnb_avg_guests,airbnb_rating_std,airbnb_total_capacity,national_tourism_index,tourism_seasonality,avg_exchange_rate,experience_score,experience_category,experience_class
Matara Paravi Duwa Beach,matara,0.7160493827160493,0.5271739636828411,-1.0,1.0,108,0.9722222222222222,105,0.06481481481481481,7,47.22222222222222,101.9747387936097,7.12037037037037,0.0,0.0,0.0,0.4728260363171589,13.25,88.0,1190.0,13.522727272727273,23.418225181200402,2.6818181818181817,0.7957567719632624,8.0,13.0,2.8461538461538463,0.898717034272917,7.0,0.0,0.0,0.0,3.0,3.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5426453916134126,Good,2
Mayan Water Park,gampaha,0.6332847188462162,0.5816427178478503,-1.0,1.0,187,0.9786096256684492,183,0.16042780748663102,30,48.0427807486631,44.563212186711866,7.74331550802139,0.0,0.0,0.0,0.41835728215214973,5.935483870967742,207.0,3543.0,17.115942028985508,29.1013643118696,2.7342995169082127,0.8429792101167654,9.0,175.0,2.5942857142857143,0.8516187618878205,62.0,4.0,0.0,6.0,102.0,1.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5979951093890755,Good,2
"Meeran Mosque, Galle Fort",galle,0.49661319073083776,0.5872453031820842,-1.0,1.0,187,0.7272727272727273,136,0.12299465240641712,23,39.64705882352941,35.27683954054898,6.0,0.0,0.0,0.0,0.41275469681791577,5.708333333333333,284.0,5287.0,18.616197183098592,40.87121744173352,2.6232394366197185,0.8504553337024837,10.0,64.0,3.015625,0.9342204542520234,37.0,9.0,1.0,3.0,14.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.548355841984543,Good,2
Minee Ella,rathnapura,0.7005649717514125,0.4577762141885172,0.0,1.0,59,0.847457627118644,50,0.01694915254237288,1,41.067796610169495,38.88172357059276,6.423728813559322,0.0,0.0,0.0,0.5422237858114828,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.38100012517328535,Average,1
Mirijjawila Botanical Gardens - South Gate,hambantota,0.35294117647058826,0.6063390625908325,-1.0,1.0,17,0.5882352941176471,10,0.058823529411764705,1,67.70588235294117,66.44994799272077,10.294117647058824,0.0,0.0,0.0,0.3936609374091675,5.5,76.0,1695.0,22.30263157894737,40.43233680668387,2.5526315789473686,0.755331924248852,7.0,6.0,2.5,0.8366600265340756,2.0,3.0,0.0,0.0,1.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.30554740508540407,Average,1
Mirissa Beach,matara,0.7958158995815899,0.4284481928072642,-1.0,1.0,239,1.602510460251046,383,0.09205020920502092,22,82.7866108786611,49.75039027568772,12.891213389121338,0.0,0.0,0.0,0.5715518071927358,16.695652173913043,88.0,1190.0,13.522727272727273,23.418225181200402,2.6818181818181817,0.7957567719632624,8.0,13.0,2.8461538461538463,0.898717034272917,7.0,0.0,0.0,0.0,3.0,3.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.6321450843114053,Good,2
Mohini Falls,hatton,0.6082474226804123,0.5314426323486507,-1.0,1.0,97,0.7319587628865979,71,0.041237113402061855,4,44.597938144329895,41.22288497551411,7.123711340206185,0.0,0.0,0.0,0.46855736765134925,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.33810710537044225,Average,1
Moon plains,hatton,0.651739452257587,0.5153140072484258,-1.0,1.0,772,0.9546632124352331,737,0.06735751295336788,52,62.373056994818654,45.597098679879686,9.901554404145077,0.0,0.0,0.0,0.4846859927515742,13.924528301886792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.4846936276079953,Good,2
Mooray falls,hatton,0.6033333333333334,0.4796186126553494,0.0,1.0,50,0.96,48,0.08,4,54.8,46.09971446190734,8.56,0.0,0.0,0.0,0.5203813873446506,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.32521552347117083,Average,1
Mount Lavania Beach,colombo,0.7198333333333333,0.47855283310241914,-1.0,1.0,200,1.625,325,0.225,45,82.26,49.13464630316047,12.755,0.0,0.0,0.0,0.5214471668975809,7.086956521739131,297.0,7519.0,25.316498316498315,66.77428319199615,2.5555555555555554,0.7997747430618447,9.0,939.0,2.5133120340788073,0.8567949895570585,255.0,21.0,0.0,22.0,641.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.7758638487550112,Excellent,3
Mount vernon waterfall,hatton,0.7894736842105263,0.5353033790313108,-1.0,1.0,19,1.3157894736842106,25,0.05263157894736842,1,60.68421052631579,62.49804675310433,9.421052631578947,0.0,0.0,0.0,0.46469662096868924,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.4098842960033689,Average,1
Muthiyangana Raja Maha Vihara,badulla,0.39100346020761245,0.5297293891058245,-1.0,1.0,289,0.532871972318339,154,0.02422145328719723,7,67.71626297577855,40.1295096792531,10.28719723183391,0.0,0.0,0.0,0.47027061089417554,19.375,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.42882639317193955,Average,1
Nalanda gedige,matale,0.3820662768031189,0.5340073637342629,-1.0,1.0,513,0.5555555555555556,285,0.06432748538011696,33,56.994152046783626,44.53678655178938,8.489278752436647,0.0,0.0,0.0,0.46599263626573706,8.411764705882353,86.0,1692.0,19.674418604651162,29.40125722020388,2.546511627906977,0.8211466408294892,8.0,45.0,2.4444444444444446,0.784959627090219,12.0,2.0,24.0,7.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.48212636231270317,Good,2
Narangala Hill,badulla,0.6642105263157895,0.5125895437029026,-1.0,1.0,95,0.9157894736842105,87,0.06315789473684211,6,42.873684210526314,42.95154174659921,6.873684210526315,0.0,0.0,0.0,0.48741045629709745,12.571428571428571,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5155936592064464,Good,2
Narangala Mountain,badulla,0.6876310272536688,0.4899633078359958,-1.0,1.0,159,0.9559748427672956,152,0.018867924528301886,3,52.509433962264154,42.460386292495656,8.314465408805031,0.0,0.0,0.0,0.5100366921640043,38.25,116.0,765.0,6.594827586206897,6.896726946799521,2.413793103448276,0.7110184430707874,4.0,2.0,3.0,1.4142135623730951,1.0,0.0,0.0,1.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5491379533005074,Good,2
National Art Gallery,colombo,0.46938775510204084,0.5810206829482109,-1.0,1.0,49,0.673469387755102,33,0.061224489795918366,3,45.61224489795919,44.0926185841286,6.755102040816326,0.0,0.0,0.0,0.41897931705178915,8.5,297.0,7519.0,25.316498316498315,66.77428319199615,2.5555555555555554,0.7997747430618447,9.0,939.0,2.5133120340788073,0.8567949895570585,255.0,21.0,0.0,22.0,641.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5898195556363739,Good,2
National Meuseum Galle,galle,0.36426116838487976,0.6144149472277358,-1.0,1.0,97,0.5360824742268041,52,0.10309278350515463,10,48.597938144329895,46.359927872799084,7.206185567010309,0.0,0.0,0.0,0.3855850527722642,4.818181818181818,284.0,5287.0,18.616197183098592,40.87121744173352,2.6232394366197185,0.8504553337024837,10.0,64.0,3.015625,0.9342204542520234,37.0,9.0,1.0,3.0,14.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.44901020625180765,Average,1
National spice garden of sri lanka,matale,0.6764705882352942,0.5582803145103703,-1.0,1.0,68,1.2058823529411764,82,0.07352941176470588,5,73.48529411764706,49.99298238725017,10.5,0.0,0.0,0.0,0.4417196854896297,13.833333333333334,86.0,1692.0,19.674418604651162,29.40125722020388,2.546511627906977,0.8211466408294892,8.0,45.0,2.4444444444444446,0.784959627090219,12.0,2.0,24.0,7.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5046493626908115,Good,2
Nilwala Crocodile Safari,matara,0.8148148148148148,0.3958473906635695,0.0,1.0,27,1.5555555555555556,42,0.0,0,97.37037037037037,46.03689836854794,14.925925925925926,0.0,0.0,0.0,0.6041526093364304,43.0,88.0,1190.0,13.522727272727273,23.418225181200402,2.6818181818181817,0.7957567719632624,8.0,13.0,2.8461538461538463,0.898717034272917,7.0,0.0,0.0,0.0,3.0,3.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.5803127033586091,Good,2
Old Dutch Market,matara,0.32432432432432434,0.6260126930757011,-1.0,1.0,37,0.5135135135135135,19,0.13513513513513514,5,38.729729729729726,39.653112984598934,5.702702702702703,0.0,0.0,0.0,0.37398730692429893,3.3333333333333335,88.0,1190.0,13.522727272727273,23.418225181200402,2.6818181818181817,0.7957567719632624,8.0,13.0,2.8461538461538463,0.898717034272917,7.0,0.0,0.0,0.0,3.0,3.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.30652078754773093,Average,1
Old Parliament Building,colombo,0.2777777777777778,0.7468694072409501,-1.0,1.0,42,0.5714285714285714,24,0.23809523809523808,10,58.333333333333336,52.42586713365308,8.166666666666666,0.0,0.0,0.0,0.2531305927590499,2.272727272727273,297.0,7519.0,25.316498316498315,66.77428319199615,2.5555555555555554,0.7997747430618447,9.0,939.0,2.5133120340788073,0.8567949895570585,255.0,21.0,0.0,22.0,641.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.47372501326457234,Good,2
Padiwita ambalama,matale,0.5783333333333334,0.49096641697662996,0.0,1.0,60,0.8,48,0.08333333333333333,5,45.9,44.31539503703129,6.8,0.0,0.0,0.0,0.5090335830233701,8.166666666666666,86.0,1692.0,19.674418604651162,29.40125722020388,2.546511627906977,0.8211466408294892,8.0,45.0,2.4444444444444446,0.784959627090219,12.0,2.0,24.0,7.0,0.0,0.0,4.791560525036462,5000,4.9858,0.24942452317291397,24929,0.8621441333333333,0.3288917889952799,246.60533333333333,0.4555304341101033,Good,2
